img_id,total_pieces,pieces_correct,piece_accuracy,perfect_puzzle,success
0,9,9,1.0,True,True
1,9,7,0.7777777910232544,False,False
2,9,9,1.0,True,True
3,9,9,1.0,True,True
4,9,9,1.0,True,True
5,9,2,0.2222222238779068,False,False
6,9,1,0.1111111119389534,False,False
7,9,1,0.1111111119389534,False,False
8,9,9,1.0,True,True
9,9,2,0.2222222238779068,False,False
10,9,9,1.0,True,True
11,9,9,1.0,True,True
12,9,9,1.0,True,True
13,9,9,1.0,True,True
14,9,9,1.0,True,True
15,9,7,0.7777777910232544,False,False
16,9,9,1.0,True,True
17,9,9,1.0,True,True
18,9,9,1.0,True,True
19,9,5,0.5555555820465088,False,False
20,9,9,1.0,True,True
21,9,9,1.0,True,True
22,9,6,0.6666666865348816,False,False
23,9,5,0.5555555820465088,False,False
24,9,9,1.0,True,True
25,9,9,1.0,True,True
26,9,9,1.0,True,True
27,9,9,1.0,True,True
28,9,4,0.4444444477558136,False,False
29,9,9,1.0,True,True
30,9,9,1.0,True,True
31,9,2,0.2222222238779068,False,False
32,9,9,1.0,True,True
33,9,9,1.0,True,True
34,9,2,0.2222222238779068,False,False
35,9,9,1.0,True,True
36,9,7,0.7777777910232544,False,False
37,9,7,0.7777777910232544,False,False
38,9,7,0.7777777910232544,False,False
39,9,9,1.0,True,True
40,9,9,1.0,True,True
41,9,9,1.0,True,True
42,9,9,1.0,True,True
43,9,9,1.0,True,True
44,9,9,1.0,True,True
45,9,1,0.1111111119389534,False,False
46,9,9,1.0,True,True
47,9,7,0.7777777910232544,False,False
48,9,4,0.4444444477558136,False,False
49,9,9,1.0,True,True
50,9,7,0.7777777910232544,False,False
51,9,4,0.4444444477558136,False,False
52,9,9,1.0,True,True
53,9,5,0.5555555820465088,False,False
54,9,3,0.3333333432674408,False,False
55,9,9,1.0,True,True
56,9,9,1.0,True,True
57,9,4,0.4444444477558136,False,False
58,9,4,0.4444444477558136,False,False
59,9,9,1.0,True,True
60,9,9,1.0,True,True
61,9,9,1.0,True,True
62,9,9,1.0,True,True
63,9,9,1.0,True,True
64,9,9,1.0,True,True
65,9,2,0.2222222238779068,False,False
66,9,9,1.0,True,True
67,9,9,1.0,True,True
68,9,9,1.0,True,True
69,9,5,0.5555555820465088,False,False
70,9,4,0.4444444477558136,False,False
71,9,9,1.0,True,True
72,9,9,1.0,True,True
73,9,9,1.0,True,True
74,9,1,0.1111111119389534,False,False
75,9,9,1.0,True,True
76,9,9,1.0,True,True
77,9,9,1.0,True,True
78,9,7,0.7777777910232544,False,False
79,9,3,0.3333333432674408,False,False
80,9,9,1.0,True,True
81,9,9,1.0,True,True
82,9,3,0.3333333432674408,False,False
83,9,0,0.0,False,False
84,9,3,0.3333333432674408,False,False
85,9,9,1.0,True,True
86,9,5,0.5555555820465088,False,False
87,9,9,1.0,True,True
88,9,9,1.0,True,True
89,9,9,1.0,True,True
90,9,9,1.0,True,True
91,9,4,0.4444444477558136,False,False
92,9,9,1.0,True,True
93,9,9,1.0,True,True
94,9,9,1.0,True,True
95,9,9,1.0,True,True
96,9,3,0.3333333432674408,False,False
97,9,9,1.0,True,True
98,9,6,0.6666666865348816,False,False
99,9,5,0.5555555820465088,False,False
100,9,9,1.0,True,True
101,9,9,1.0,True,True
102,9,9,1.0,True,True
103,9,9,1.0,True,True
104,9,9,1.0,True,True
105,9,9,1.0,True,True
106,9,9,1.0,True,True
107,9,7,0.7777777910232544,False,False
108,9,3,0.3333333432674408,False,False
109,9,5,0.5555555820465088,False,False
110,9,9,1.0,True,True
111,9,9,1.0,True,True
112,9,9,1.0,True,True
113,9,3,0.3333333432674408,False,False
114,9,9,1.0,True,True
115,9,9,1.0,True,True
116,9,9,1.0,True,True
117,9,9,1.0,True,True
118,9,4,0.4444444477558136,False,False
119,9,9,1.0,True,True
120,9,9,1.0,True,True
121,9,9,1.0,True,True
122,9,9,1.0,True,True
123,9,9,1.0,True,True
124,9,2,0.2222222238779068,False,False
125,9,9,1.0,True,True
126,9,9,1.0,True,True
127,9,9,1.0,True,True
128,9,9,1.0,True,True
129,9,5,0.5555555820465088,False,False
130,9,9,1.0,True,True
131,9,9,1.0,True,True
132,9,9,1.0,True,True
133,9,7,0.7777777910232544,False,False
134,9,9,1.0,True,True
135,9,9,1.0,True,True
136,9,9,1.0,True,True
137,9,9,1.0,True,True
138,9,9,1.0,True,True
139,9,3,0.3333333432674408,False,False
140,9,4,0.4444444477558136,False,False
141,9,9,1.0,True,True
142,9,4,0.4444444477558136,False,False
143,9,9,1.0,True,True
144,9,9,1.0,True,True
145,9,9,1.0,True,True
146,9,9,1.0,True,True
147,9,9,1.0,True,True
148,9,9,1.0,True,True
149,9,9,1.0,True,True
150,9,9,1.0,True,True
151,9,5,0.5555555820465088,False,False
152,9,9,1.0,True,True
153,9,7,0.7777777910232544,False,False
154,9,9,1.0,True,True
155,9,9,1.0,True,True
156,9,9,1.0,True,True
157,9,9,1.0,True,True
158,9,9,1.0,True,True
159,9,7,0.7777777910232544,False,False
160,9,9,1.0,True,True
161,9,9,1.0,True,True
162,9,9,1.0,True,True
163,9,9,1.0,True,True
164,9,9,1.0,True,True
165,9,9,1.0,True,True
166,9,9,1.0,True,True
167,9,9,1.0,True,True
168,9,9,1.0,True,True
169,9,7,0.7777777910232544,False,False
170,9,9,1.0,True,True
171,9,5,0.5555555820465088,False,False
172,9,9,1.0,True,True
173,9,0,0.0,False,False
174,9,9,1.0,True,True
175,9,3,0.3333333432674408,False,False
176,9,9,1.0,True,True
177,9,9,1.0,True,True
178,9,7,0.7777777910232544,False,False
179,9,6,0.6666666865348816,False,False
180,9,9,1.0,True,True
181,9,9,1.0,True,True
182,9,9,1.0,True,True
183,9,7,0.7777777910232544,False,False
184,9,9,1.0,True,True
185,9,9,1.0,True,True
186,9,2,0.2222222238779068,False,False
187,9,5,0.5555555820465088,False,False
188,9,9,1.0,True,True
189,9,5,0.5555555820465088,False,False
190,9,7,0.7777777910232544,False,False
191,9,2,0.2222222238779068,False,False
192,9,7,0.7777777910232544,False,False
193,9,9,1.0,True,True
194,9,9,1.0,True,True
195,9,4,0.4444444477558136,False,False
196,9,9,1.0,True,True
197,9,4,0.4444444477558136,False,False
198,9,9,1.0,True,True
199,9,9,1.0,True,True
200,9,5,0.5555555820465088,False,False
201,9,9,1.0,True,True
202,9,9,1.0,True,True
203,9,9,1.0,True,True
204,9,7,0.7777777910232544,False,False
205,9,5,0.5555555820465088,False,False
206,9,2,0.2222222238779068,False,False
207,9,9,1.0,True,True
208,9,9,1.0,True,True
209,9,2,0.2222222238779068,False,False
210,9,9,1.0,True,True
211,9,9,1.0,True,True
212,9,9,1.0,True,True
213,9,9,1.0,True,True
214,9,2,0.2222222238779068,False,False
215,9,9,1.0,True,True
216,9,9,1.0,True,True
217,9,6,0.6666666865348816,False,False
218,9,9,1.0,True,True
219,9,9,1.0,True,True
220,9,7,0.7777777910232544,False,False
221,9,9,1.0,True,True
222,9,9,1.0,True,True
223,9,3,0.3333333432674408,False,False
224,9,9,1.0,True,True
225,9,9,1.0,True,True
226,9,6,0.6666666865348816,False,False
227,9,9,1.0,True,True
228,9,9,1.0,True,True
229,9,7,0.7777777910232544,False,False
230,9,9,1.0,True,True
231,9,3,0.3333333432674408,False,False
232,9,7,0.7777777910232544,False,False
233,9,9,1.0,True,True
234,9,9,1.0,True,True
235,9,7,0.7777777910232544,False,False
236,9,5,0.5555555820465088,False,False
237,9,9,1.0,True,True
238,9,9,1.0,True,True
239,9,9,1.0,True,True
240,9,9,1.0,True,True
241,9,9,1.0,True,True
242,9,3,0.3333333432674408,False,False
243,9,9,1.0,True,True
244,9,4,0.4444444477558136,False,False
245,9,4,0.4444444477558136,False,False
246,9,9,1.0,True,True
247,9,9,1.0,True,True
248,9,9,1.0,True,True
249,9,5,0.5555555820465088,False,False
250,9,2,0.2222222238779068,False,False
251,9,5,0.5555555820465088,False,False
252,9,1,0.1111111119389534,False,False
253,9,9,1.0,True,True
254,9,9,1.0,True,True
255,9,5,0.5555555820465088,False,False
256,9,9,1.0,True,True
257,9,3,0.3333333432674408,False,False
258,9,7,0.7777777910232544,False,False
259,9,9,1.0,True,True
260,9,5,0.5555555820465088,False,False
261,9,3,0.3333333432674408,False,False
262,9,7,0.7777777910232544,False,False
263,9,9,1.0,True,True
264,9,9,1.0,True,True
265,9,7,0.7777777910232544,False,False
266,9,9,1.0,True,True
267,9,9,1.0,True,True
268,9,9,1.0,True,True
269,9,9,1.0,True,True
270,9,9,1.0,True,True
271,9,9,1.0,True,True
272,9,2,0.2222222238779068,False,False
273,9,4,0.4444444477558136,False,False
274,9,9,1.0,True,True
275,9,9,1.0,True,True
276,9,7,0.7777777910232544,False,False
277,9,5,0.5555555820465088,False,False
278,9,1,0.1111111119389534,False,False
279,9,9,1.0,True,True
280,9,9,1.0,True,True
281,9,6,0.6666666865348816,False,False
282,9,4,0.4444444477558136,False,False
283,9,9,1.0,True,True
284,9,9,1.0,True,True
285,9,9,1.0,True,True
286,9,9,1.0,True,True
287,9,6,0.6666666865348816,False,False
288,9,4,0.4444444477558136,False,False
289,9,9,1.0,True,True
290,9,9,1.0,True,True
291,9,4,0.4444444477558136,False,False
292,9,9,1.0,True,True
293,9,9,1.0,True,True
294,9,9,1.0,True,True
295,9,9,1.0,True,True
296,9,9,1.0,True,True
297,9,9,1.0,True,True
298,9,9,1.0,True,True
299,9,9,1.0,True,True
300,9,4,0.4444444477558136,False,False
301,9,9,1.0,True,True
302,9,9,1.0,True,True
303,9,4,0.4444444477558136,False,False
304,9,9,1.0,True,True
305,9,9,1.0,True,True
306,9,9,1.0,True,True
307,9,9,1.0,True,True
308,9,9,1.0,True,True
309,9,9,1.0,True,True
310,9,5,0.5555555820465088,False,False
311,9,5,0.5555555820465088,False,False
312,9,9,1.0,True,True
313,9,9,1.0,True,True
314,9,9,1.0,True,True
315,9,9,1.0,True,True
316,9,9,1.0,True,True
317,9,9,1.0,True,True
318,9,9,1.0,True,True
319,9,9,1.0,True,True
320,9,9,1.0,True,True
321,9,9,1.0,True,True
322,9,3,0.3333333432674408,False,False
323,9,9,1.0,True,True
324,9,9,1.0,True,True
325,9,9,1.0,True,True
326,9,9,1.0,True,True
327,9,9,1.0,True,True
328,9,9,1.0,True,True
329,9,7,0.7777777910232544,False,False
330,9,6,0.6666666865348816,False,False
331,9,9,1.0,True,True
332,9,7,0.7777777910232544,False,False
333,9,9,1.0,True,True
334,9,5,0.5555555820465088,False,False
335,9,1,0.1111111119389534,False,False
336,9,9,1.0,True,True
337,9,5,0.5555555820465088,False,False
338,9,9,1.0,True,True
339,9,9,1.0,True,True
340,9,7,0.7777777910232544,False,False
341,9,9,1.0,True,True
342,9,7,0.7777777910232544,False,False
343,9,4,0.4444444477558136,False,False
344,9,9,1.0,True,True
345,9,7,0.7777777910232544,False,False
346,9,9,1.0,True,True
347,9,3,0.3333333432674408,False,False
348,9,4,0.4444444477558136,False,False
349,9,9,1.0,True,True
350,9,9,1.0,True,True
351,9,9,1.0,True,True
352,9,4,0.4444444477558136,False,False
353,9,9,1.0,True,True
354,9,9,1.0,True,True
355,9,9,1.0,True,True
356,9,9,1.0,True,True
357,9,9,1.0,True,True
358,9,9,1.0,True,True
359,9,6,0.6666666865348816,False,False
360,9,7,0.7777777910232544,False,False
361,9,9,1.0,True,True
362,9,9,1.0,True,True
363,9,9,1.0,True,True
364,9,9,1.0,True,True
365,9,3,0.3333333432674408,False,False
366,9,7,0.7777777910232544,False,False
367,9,9,1.0,True,True
368,9,9,1.0,True,True
369,9,9,1.0,True,True
370,9,9,1.0,True,True
371,9,9,1.0,True,True
372,9,5,0.5555555820465088,False,False
373,9,7,0.7777777910232544,False,False
374,9,3,0.3333333432674408,False,False
375,9,5,0.5555555820465088,False,False
376,9,4,0.4444444477558136,False,False
377,9,9,1.0,True,True
378,9,6,0.6666666865348816,False,False
379,9,7,0.7777777910232544,False,False
380,9,4,0.4444444477558136,False,False
381,9,9,1.0,True,True
382,9,9,1.0,True,True
383,9,9,1.0,True,True
384,9,1,0.1111111119389534,False,False
385,9,9,1.0,True,True
386,9,9,1.0,True,True
387,9,9,1.0,True,True
388,9,9,1.0,True,True
389,9,9,1.0,True,True
390,9,2,0.2222222238779068,False,False
391,9,9,1.0,True,True
392,9,3,0.3333333432674408,False,False
393,9,9,1.0,True,True
394,9,9,1.0,True,True
395,9,9,1.0,True,True
396,9,4,0.4444444477558136,False,False
397,9,0,0.0,False,False
398,9,7,0.7777777910232544,False,False
399,9,9,1.0,True,True
400,9,6,0.6666666865348816,False,False
401,9,9,1.0,True,True
402,9,4,0.4444444477558136,False,False
403,9,4,0.4444444477558136,False,False
404,9,9,1.0,True,True
405,9,9,1.0,True,True
406,9,9,1.0,True,True
407,9,4,0.4444444477558136,False,False
408,9,9,1.0,True,True
409,9,9,1.0,True,True
410,9,4,0.4444444477558136,False,False
411,9,3,0.3333333432674408,False,False
412,9,9,1.0,True,True
413,9,1,0.1111111119389534,False,False
414,9,7,0.7777777910232544,False,False
415,9,9,1.0,True,True
416,9,9,1.0,True,True
417,9,4,0.4444444477558136,False,False
418,9,9,1.0,True,True
419,9,9,1.0,True,True
420,9,7,0.7777777910232544,False,False
421,9,9,1.0,True,True
422,9,9,1.0,True,True
423,9,7,0.7777777910232544,False,False
424,9,9,1.0,True,True
425,9,9,1.0,True,True
426,9,9,1.0,True,True
427,9,9,1.0,True,True
428,9,9,1.0,True,True
429,9,5,0.5555555820465088,False,False
430,9,9,1.0,True,True
431,9,4,0.4444444477558136,False,False
432,9,9,1.0,True,True
433,9,9,1.0,True,True
434,9,9,1.0,True,True
435,9,3,0.3333333432674408,False,False
436,9,4,0.4444444477558136,False,False
437,9,9,1.0,True,True
438,9,9,1.0,True,True
439,9,9,1.0,True,True
440,9,9,1.0,True,True
441,9,4,0.4444444477558136,False,False
442,9,9,1.0,True,True
443,9,9,1.0,True,True
444,9,9,1.0,True,True
445,9,4,0.4444444477558136,False,False
446,9,9,1.0,True,True
447,9,9,1.0,True,True
448,9,3,0.3333333432674408,False,False
449,9,9,1.0,True,True
450,9,9,1.0,True,True
451,9,6,0.6666666865348816,False,False
452,9,9,1.0,True,True
453,9,9,1.0,True,True
454,9,9,1.0,True,True
455,9,9,1.0,True,True
456,9,9,1.0,True,True
457,9,9,1.0,True,True
458,9,9,1.0,True,True
459,9,1,0.1111111119389534,False,False
460,9,7,0.7777777910232544,False,False
461,9,9,1.0,True,True
462,9,9,1.0,True,True
463,9,9,1.0,True,True
464,9,9,1.0,True,True
465,9,9,1.0,True,True
466,9,2,0.2222222238779068,False,False
467,9,9,1.0,True,True
468,9,4,0.4444444477558136,False,False
469,9,9,1.0,True,True
470,9,9,1.0,True,True
471,9,9,1.0,True,True
472,9,4,0.4444444477558136,False,False
473,9,9,1.0,True,True
474,9,9,1.0,True,True
475,9,9,1.0,True,True
476,9,7,0.7777777910232544,False,False
477,9,9,1.0,True,True
478,9,9,1.0,True,True
479,9,9,1.0,True,True
480,9,2,0.2222222238779068,False,False
481,9,4,0.4444444477558136,False,False
482,9,9,1.0,True,True
483,9,9,1.0,True,True
484,9,9,1.0,True,True
485,9,5,0.5555555820465088,False,False
486,9,7,0.7777777910232544,False,False
487,9,9,1.0,True,True
488,9,4,0.4444444477558136,False,False
489,9,9,1.0,True,True
490,9,5,0.5555555820465088,False,False
491,9,9,1.0,True,True
492,9,4,0.4444444477558136,False,False
493,9,9,1.0,True,True
494,9,9,1.0,True,True
495,9,9,1.0,True,True
496,9,9,1.0,True,True
497,9,7,0.7777777910232544,False,False
498,9,9,1.0,True,True
499,9,9,1.0,True,True
500,9,9,1.0,True,True
501,9,9,1.0,True,True
502,9,4,0.4444444477558136,False,False
503,9,9,1.0,True,True
504,9,9,1.0,True,True
505,9,5,0.5555555820465088,False,False
506,9,6,0.6666666865348816,False,False
507,9,9,1.0,True,True
508,9,9,1.0,True,True
509,9,9,1.0,True,True
510,9,9,1.0,True,True
511,9,5,0.5555555820465088,False,False
512,9,6,0.6666666865348816,False,False
513,9,6,0.6666666865348816,False,False
514,9,9,1.0,True,True
515,9,4,0.4444444477558136,False,False
516,9,7,0.7777777910232544,False,False
517,9,9,1.0,True,True
518,9,3,0.3333333432674408,False,False
519,9,9,1.0,True,True
520,9,9,1.0,True,True
521,9,9,1.0,True,True
522,9,7,0.7777777910232544,False,False
523,9,9,1.0,True,True
524,9,5,0.5555555820465088,False,False
525,9,9,1.0,True,True
526,9,9,1.0,True,True
527,9,9,1.0,True,True
528,9,9,1.0,True,True
529,9,9,1.0,True,True
530,9,3,0.3333333432674408,False,False
531,9,4,0.4444444477558136,False,False
532,9,9,1.0,True,True
533,9,9,1.0,True,True
534,9,9,1.0,True,True
535,9,9,1.0,True,True
536,9,9,1.0,True,True
537,9,9,1.0,True,True
538,9,9,1.0,True,True
539,9,4,0.4444444477558136,False,False
540,9,9,1.0,True,True
541,9,1,0.1111111119389534,False,False
542,9,9,1.0,True,True
543,9,9,1.0,True,True
544,9,5,0.5555555820465088,False,False
545,9,9,1.0,True,True
546,9,9,1.0,True,True
547,9,9,1.0,True,True
548,9,9,1.0,True,True
549,9,9,1.0,True,True
550,9,9,1.0,True,True
551,9,9,1.0,True,True
552,9,6,0.6666666865348816,False,False
553,9,9,1.0,True,True
554,9,9,1.0,True,True
555,9,3,0.3333333432674408,False,False
556,9,5,0.5555555820465088,False,False
557,9,9,1.0,True,True
558,9,9,1.0,True,True
559,9,9,1.0,True,True
560,9,7,0.7777777910232544,False,False
561,9,9,1.0,True,True
562,9,9,1.0,True,True
563,9,7,0.7777777910232544,False,False
564,9,7,0.7777777910232544,False,False
565,9,9,1.0,True,True
566,9,4,0.4444444477558136,False,False
567,9,9,1.0,True,True
568,9,9,1.0,True,True
569,9,4,0.4444444477558136,False,False
570,9,9,1.0,True,True
571,9,7,0.7777777910232544,False,False
572,9,9,1.0,True,True
573,9,9,1.0,True,True
574,9,5,0.5555555820465088,False,False
575,9,9,1.0,True,True
576,9,5,0.5555555820465088,False,False
577,9,9,1.0,True,True
578,9,6,0.6666666865348816,False,False
579,9,2,0.2222222238779068,False,False
580,9,9,1.0,True,True
581,9,2,0.2222222238779068,False,False
582,9,3,0.3333333432674408,False,False
583,9,9,1.0,True,True
584,9,9,1.0,True,True
585,9,9,1.0,True,True
586,9,4,0.4444444477558136,False,False
587,9,9,1.0,True,True
588,9,3,0.3333333432674408,False,False
589,9,9,1.0,True,True
590,9,9,1.0,True,True
591,9,9,1.0,True,True
592,9,9,1.0,True,True
593,9,5,0.5555555820465088,False,False
594,9,4,0.4444444477558136,False,False
595,9,7,0.7777777910232544,False,False
596,9,3,0.3333333432674408,False,False
597,9,9,1.0,True,True
598,9,7,0.7777777910232544,False,False
599,9,9,1.0,True,True
600,9,9,1.0,True,True
601,9,4,0.4444444477558136,False,False
602,9,7,0.7777777910232544,False,False
603,9,5,0.5555555820465088,False,False
604,9,9,1.0,True,True
605,9,9,1.0,True,True
606,9,9,1.0,True,True
607,9,9,1.0,True,True
608,9,9,1.0,True,True
609,9,9,1.0,True,True
610,9,9,1.0,True,True
611,9,7,0.7777777910232544,False,False
612,9,9,1.0,True,True
613,9,9,1.0,True,True
614,9,9,1.0,True,True
615,9,7,0.7777777910232544,False,False
616,9,9,1.0,True,True
617,9,9,1.0,True,True
618,9,0,0.0,False,False
619,9,9,1.0,True,True
620,9,9,1.0,True,True
621,9,7,0.7777777910232544,False,False
