img_id,total_pieces,pieces_correct,piece_accuracy,perfect_puzzle,success
0,16,16,1.0,True,True
1,16,16,1.0,True,True
2,16,16,1.0,True,True
3,16,16,1.0,True,True
4,16,16,1.0,True,True
5,16,16,1.0,True,True
6,16,16,1.0,True,True
7,16,16,1.0,True,True
8,16,16,1.0,True,True
9,16,16,1.0,True,True
10,16,16,1.0,True,True
11,16,16,1.0,True,True
12,16,16,1.0,True,True
13,16,16,1.0,True,True
14,16,16,1.0,True,True
15,16,16,1.0,True,True
16,16,16,1.0,True,True
17,16,16,1.0,True,True
18,16,16,1.0,True,True
19,16,14,0.875,False,True
20,16,16,1.0,True,True
21,16,16,1.0,True,True
22,16,16,1.0,True,True
23,16,12,0.75,False,False
24,16,16,1.0,True,True
25,16,16,1.0,True,True
26,16,16,1.0,True,True
27,16,16,1.0,True,True
28,16,16,1.0,True,True
29,16,16,1.0,True,True
30,16,16,1.0,True,True
31,16,16,1.0,True,True
32,16,16,1.0,True,True
33,16,16,1.0,True,True
34,16,16,1.0,True,True
35,16,16,1.0,True,True
36,16,16,1.0,True,True
37,16,16,1.0,True,True
38,16,12,0.75,False,False
39,16,16,1.0,True,True
40,16,16,1.0,True,True
41,16,16,1.0,True,True
42,16,16,1.0,True,True
43,16,16,1.0,True,True
44,16,16,1.0,True,True
45,16,16,1.0,True,True
46,16,16,1.0,True,True
47,16,16,1.0,True,True
48,16,16,1.0,True,True
49,16,16,1.0,True,True
50,16,16,1.0,True,True
51,16,16,1.0,True,True
52,16,16,1.0,True,True
53,16,16,1.0,True,True
54,16,16,1.0,True,True
55,16,14,0.875,False,True
56,16,16,1.0,True,True
57,16,16,1.0,True,True
58,16,16,1.0,True,True
59,16,16,1.0,True,True
60,16,16,1.0,True,True
61,16,16,1.0,True,True
62,16,16,1.0,True,True
63,16,16,1.0,True,True
64,16,16,1.0,True,True
65,16,16,1.0,True,True
66,16,16,1.0,True,True
67,16,9,0.5625,False,False
68,16,16,1.0,True,True
69,16,16,1.0,True,True
70,16,16,1.0,True,True
71,16,16,1.0,True,True
72,16,16,1.0,True,True
73,16,13,0.8125,False,True
